"AED","2024-12-16 18:31:11","2024-12-16 18:31:11","AED","د.إ","United Arab Emirates Dirham",2,0,"UAE dirhams","fiat","{AE}"
"AFN","2024-12-16 18:31:11","2024-12-16 18:31:11","Af","؋","Afghan Afghani",0,0,"Afghan Afghanis","fiat","{AF}"
"ALL","2024-12-16 18:31:11","2024-12-16 18:31:11","ALL","Lek","Albanian Lek",0,0,"Albanian lekë","fiat","{AL}"
"AMD","2024-12-16 18:31:11","2024-12-16 18:31:11","AMD","դր.","Armenian Dram",0,0,"Armenian drams","fiat","{AM}"
"ANG","2024-12-16 18:31:11","2024-12-16 18:31:11","ƒ","NAƒ","NL Antillean Guilder",2,0,"NL Antillean Guilders","fiat","{CW,SX}"
"AOA","2024-12-16 18:31:11","2024-12-16 18:31:11","Kz","Kz","Angolan Kwanza",2,0,"Angolan Kwanza","fiat","{AO}"
"ARS","2024-12-16 18:31:11","2024-12-16 18:31:11","AR$","$","Argentine Peso",2,0,"Argentine pesos","fiat","{AR}"
"AUD","2024-12-16 18:31:11","2024-12-16 18:31:11","AU$","$","Australian Dollar",2,0,"Australian dollars","fiat","{AU,CC,CX,HM,KI,NF,NR,TV}"
"AWG","2024-12-16 18:31:11","2024-12-16 18:31:11","Afl.","Afl.","Aruban Florin",2,0,"Aruban Florin","fiat","{AW}"
"AZN","2024-12-16 18:31:11","2024-12-16 18:31:11","man.","ман.","Azerbaijani Manat",2,0,"Azerbaijani manats","fiat","{AZ}"
"BAM","2024-12-16 18:31:11","2024-12-16 18:31:11","KM","KM","Bosnia-Herzegovina Convertible Mark",2,0,"Bosnia-Herzegovina convertible marks","fiat","{BA}"
"BBD","2024-12-16 18:31:11","2024-12-16 18:31:11","Bds$","$","Barbadian Dollar",2,0,"Barbadian Dollars","fiat","{BB}"
"BDT","2024-12-16 18:31:11","2024-12-16 18:31:11","Tk","৳","Bangladeshi Taka",2,0,"Bangladeshi takas","fiat","{BD}"
"BGN","2024-12-16 18:31:11","2024-12-16 18:31:11","BGN","лв.","Bulgarian Lev",2,0,"Bulgarian leva","fiat","{BG}"
"BHD","2024-12-16 18:31:11","2024-12-16 18:31:11","BD","د.ب.‏","Bahraini Dinar",3,0,"Bahraini dinars","fiat","{BH}"
"BIF","2024-12-16 18:31:11","2024-12-16 18:31:11","FBu","FBu","Burundian Franc",0,0,"Burundian francs","fiat","{BI}"
"BMD","2024-12-16 18:31:11","2024-12-16 18:31:11","BD$","$","Bermudan Dollar",2,0,"Bermudan Dollars","fiat","{BM}"
"BND","2024-12-16 18:31:11","2024-12-16 18:31:11","BN$","$","Brunei Dollar",2,0,"Brunei dollars","fiat","{BN}"
"BOB","2024-12-16 18:31:11","2024-12-16 18:31:11","Bs","Bs","Bolivian Boliviano",2,0,"Bolivian bolivianos","fiat","{BO}"
"BRL","2024-12-16 18:31:11","2024-12-16 18:31:11","R$","R$","Brazilian Real",2,0,"Brazilian reals","fiat","{BR}"
"BSD","2024-12-16 18:31:11","2024-12-16 18:31:11","B$","$","Bahamian Dollar",2,0,"Bahamian Dollars","fiat","{BS}"
"BTN","2024-12-16 18:31:11","2024-12-16 18:31:11","Nu.","Nu.","Bhutanese Ngultrum",2,0,"Bhutanese Ngultrum","fiat","{BT}"
"BWP","2024-12-16 18:31:11","2024-12-16 18:31:11","BWP","P","Botswanan Pula",2,0,"Botswanan pulas","fiat","{BW,ZW}"
"BYN","2024-12-16 18:31:11","2024-12-16 18:31:11","Br","Br","Belarusian ruble",2,0,"Belarusian rubles","fiat","{}"
"BYR","2024-12-16 18:31:11","2024-12-16 18:31:11","BYR","BYR","Belarusian Ruble",0,0,"Belarusian rubles","fiat","{BY}"
"BZD","2024-12-16 18:31:11","2024-12-16 18:31:11","BZ$","$","Belize Dollar",2,0,"Belize dollars","fiat","{BZ}"
"CAD","2024-12-16 18:31:11","2024-12-16 18:31:11","CA$","$","Canadian Dollar",2,0,"Canadian dollars","fiat","{CA}"
"CDF","2024-12-16 18:31:11","2024-12-16 18:31:11","CDF","FrCD","Congolese Franc",2,0,"Congolese francs","fiat","{CD}"
"CHF","2024-12-16 18:31:11","2024-12-16 18:31:11","CHF","CHF","Swiss Franc",2,0,"Swiss francs","fiat","{CH,LI}"
"CLF","2024-12-16 18:31:11","2024-12-16 18:31:11","UF","UF","Unidad de Fomento",2,0,"Unidad de Fomentos","fiat","{CL}"
"CLP","2024-12-16 18:31:11","2024-12-16 18:31:11","CL$","$","Chilean Peso",0,0,"Chilean pesos","fiat","{CL}"
"CNY","2024-12-16 18:31:11","2024-12-16 18:31:11","CN¥","CN¥","Chinese Yuan",2,0,"Chinese yuan","fiat","{CN}"
"COP","2024-12-16 18:31:11","2024-12-16 18:31:11","CO$","$","Coombian Peso",0,0,"Colombian pesos","fiat","{CO}"
"CRC","2024-12-16 18:31:11","2024-12-16 18:31:11","₡","₡","Costa Rican Colón",0,0,"Costa Rican colóns","fiat","{CR}"
"CUC","2024-12-16 18:31:11","2024-12-16 18:31:11","CUC$","$","Cuban Convertible Peso",2,0,"Cuban Convertible Peso","fiat","{CU}"
"CUP","2024-12-16 18:31:11","2024-12-16 18:31:11","$MN","$","Cuban Peso",2,0,"Cuban Peso","fiat","{CU}"
"CVE","2024-12-16 18:31:11","2024-12-16 18:31:11","CV$","CV$","Cape Verdean Escudo",2,0,"Cape Verdean escudos","fiat","{CV}"
"CZK","2024-12-16 18:31:11","2024-12-16 18:31:11","Kč","Kč","Czech Republic Koruna",2,0,"Czech Republic korunas","fiat","{CZ}"
"DJF","2024-12-16 18:31:11","2024-12-16 18:31:11","Fdj","Fdj","Djiboutian Franc",0,0,"Djiboutian francs","fiat","{DJ}"
"DKK","2024-12-16 18:31:11","2024-12-16 18:31:11","Dkr","kr","Danish Krone",2,0,"Danish kroner","fiat","{DK,FO,GL}"
"DOP","2024-12-16 18:31:11","2024-12-16 18:31:11","RD$","RD$","Dominican Peso",2,0,"Dominican pesos","fiat","{DO}"
"DZD","2024-12-16 18:31:11","2024-12-16 18:31:11","DA","د.ج.‏","Algerian Dinar",2,0,"Algerian dinars","fiat","{DZ}"
"EGP","2024-12-16 18:31:11","2024-12-16 18:31:11","EGP","ج.م.‏","Egyptian Pound",2,0,"Egyptian pounds","fiat","{EG,PS}"
"ERN","2024-12-16 18:31:11","2024-12-16 18:31:11","Nfk","Nfk","Eritrean Nakfa",2,0,"Eritrean nakfas","fiat","{ER}"
"ETB","2024-12-16 18:31:11","2024-12-16 18:31:11","Br","Br","Ethiopian Birr",2,0,"Ethiopian birrs","fiat","{ET}"
"EUR","2024-12-16 18:31:11","2024-12-16 18:31:11","€","€","Euro",2,0,"Euros","fiat","{AD,AT,AX,BE,BL,CP,CY,DE,EA,EE,ES,EU,FI,FR,FX,GF,GP,GR,IC,IE,IT,LT,LU,LV,MC,ME,MF,MQ,MT,NL,PM,PT,RE,SI,SK,SM,TF,VA,XK,YT,ZW}"
